name,prop,rank,num,show,value,list
生命值,FIGHT_PROP_HP,1,0,0,0,[]
生命值,FIGHT_PROP_HP,1,1,24,23.899999618530273,[23.899999618530273]
生命值,FIGHT_PROP_HP,1,1,30,29.8799991607666,[29.8799991607666]
生命值,FIGHT_PROP_HP,1,2,48,47.79999923706055,"[23.899999618530273, 23.899999618530273]"
生命值,FIGHT_PROP_HP,1,2,54,53.779998779296875,"[23.899999618530273, 29.8799991607666]"
生命值,FIGHT_PROP_HP,1,2,60,59.7599983215332,"[29.8799991607666, 29.8799991607666]"
生命值,FIGHT_PROP_HP,2,0,0,0,[]
生命值,FIGHT_PROP_HP,2,1,50,50.189998626708984,[50.189998626708984]
生命值,FIGHT_PROP_HP,2,1,61,60.95000076293945,[60.95000076293945]
生命值,FIGHT_PROP_HP,2,1,72,71.69999694824219,[71.69999694824219]
生命值,FIGHT_PROP_HP,2,2,100,100.37999725341797,"[50.189998626708984, 50.189998626708984]"
生命值,FIGHT_PROP_HP,2,2,111,111.13999938964844,"[50.189998626708984, 60.95000076293945]"
生命值,FIGHT_PROP_HP,2,2,122,121.88999557495117,"[50.189998626708984, 71.69999694824219]"
生命值,FIGHT_PROP_HP,2,2,122,121.9000015258789,"[60.95000076293945, 60.95000076293945]"
生命值,FIGHT_PROP_HP,2,2,133,132.64999771118164,"[60.95000076293945, 71.69999694824219]"
生命值,FIGHT_PROP_HP,2,2,143,143.39999389648438,"[71.69999694824219, 71.69999694824219]"
生命值,FIGHT_PROP_HP,3,0,0,0,[]
生命值,FIGHT_PROP_HP,3,1,100,100.37999725341797,[100.37999725341797]
生命值,FIGHT_PROP_HP,3,1,115,114.72000122070312,[114.72000122070312]
生命值,FIGHT_PROP_HP,3,1,129,129.05999755859375,[129.05999755859375]
生命值,FIGHT_PROP_HP,3,1,143,143.39999389648438,[143.39999389648438]
生命值,FIGHT_PROP_HP,3,2,201,200.75999450683594,"[100.37999725341797, 100.37999725341797]"
生命值,FIGHT_PROP_HP,3,2,215,215.0999984741211,"[100.37999725341797, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,2,229,229.43999481201172,"[100.37999725341797, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,2,244,243.77999114990234,"[100.37999725341797, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,2,229,229.44000244140625,"[114.72000122070312, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,2,244,243.77999877929688,"[114.72000122070312, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,2,258,258.1199951171875,"[114.72000122070312, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,2,258,258.1199951171875,"[129.05999755859375, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,2,272,272.4599914550781,"[129.05999755859375, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,2,287,286.79998779296875,"[143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,301,301.1399917602539,"[100.37999725341797, 100.37999725341797, 100.37999725341797]"
生命值,FIGHT_PROP_HP,3,3,315,315.47999572753906,"[100.37999725341797, 100.37999725341797, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,3,330,329.8199920654297,"[100.37999725341797, 100.37999725341797, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,3,344,344.1599884033203,"[100.37999725341797, 100.37999725341797, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,330,329.8199996948242,"[100.37999725341797, 114.72000122070312, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,3,344,344.15999603271484,"[100.37999725341797, 114.72000122070312, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,3,358,358.49999237060547,"[100.37999725341797, 114.72000122070312, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,358,358.49999237060547,"[100.37999725341797, 129.05999755859375, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,3,373,372.8399887084961,"[100.37999725341797, 129.05999755859375, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,387,387.1799850463867,"[100.37999725341797, 143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,344,344.1600036621094,"[114.72000122070312, 114.72000122070312, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,3,358,358.5,"[114.72000122070312, 114.72000122070312, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,3,373,372.8399963378906,"[114.72000122070312, 114.72000122070312, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,373,372.8399963378906,"[114.72000122070312, 129.05999755859375, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,3,387,387.17999267578125,"[114.72000122070312, 129.05999755859375, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,402,401.5199890136719,"[114.72000122070312, 143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,387,387.17999267578125,"[129.05999755859375, 129.05999755859375, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,3,402,401.5199890136719,"[129.05999755859375, 129.05999755859375, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,416,415.8599853515625,"[129.05999755859375, 143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,3,430,430.1999816894531,"[143.39999389648438, 143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,402,401.5199890136719,"[100.37999725341797, 100.37999725341797, 100.37999725341797, 100.37999725341797]"
生命值,FIGHT_PROP_HP,3,4,416,415.85999298095703,"[100.37999725341797, 100.37999725341797, 100.37999725341797, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,4,430,430.19998931884766,"[100.37999725341797, 100.37999725341797, 100.37999725341797, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,4,445,444.5399856567383,"[100.37999725341797, 100.37999725341797, 100.37999725341797, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,430,430.1999969482422,"[100.37999725341797, 100.37999725341797, 114.72000122070312, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,4,445,444.5399932861328,"[100.37999725341797, 100.37999725341797, 114.72000122070312, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,4,459,458.87998962402344,"[100.37999725341797, 100.37999725341797, 114.72000122070312, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,459,458.87998962402344,"[100.37999725341797, 100.37999725341797, 129.05999755859375, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,4,473,473.21998596191406,"[100.37999725341797, 100.37999725341797, 129.05999755859375, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,488,487.5599822998047,"[100.37999725341797, 100.37999725341797, 143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,445,444.54000091552734,"[100.37999725341797, 114.72000122070312, 114.72000122070312, 114.72000122070312]"
生命值,FIGHT_PROP_HP,3,4,459,458.87999725341797,"[100.37999725341797, 114.72000122070312, 114.72000122070312, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,4,473,473.2199935913086,"[100.37999725341797, 114.72000122070312, 114.72000122070312, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,473,473.2199935913086,"[100.37999725341797, 114.72000122070312, 129.05999755859375, 129.05999755859375]"
生命值,FIGHT_PROP_HP,3,4,488,487.5599899291992,"[100.37999725341797, 114.72000122070312, 129.05999755859375, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,502,501.89998626708984,"[100.37999725341797, 114.72000122070312, 143.39999389648438, 143.39999389648438]"
生命值,FIGHT_PROP_HP,3,4,488,487.5599899291992,"[100.37999725341797, 129.05999755859375, 129.05999755859375, 129.05999755859375]"
